"x"
"1000"
"6"
"400"
"6"
"1"
"MVN"
"Bspline"
"random"
"10"
"10"
"15"
"lasso"
"0.032"
"0.032"
"0.037"
"0.038"
"0.427"
"0.805"
"0.742"
"0.372"
"1"
"0.819"
"0.749"
"0.36"
"1"
"0.995"
"0.042"
"0.042"
"0.04"
"0.049"
"0.139"
"0.276"
"0.277"
"0.132"
"0.463"
"0.264"
"0.276"
"0.121"
"0.484"
"0.486"
