"x"
"1000"
"-1"
"400"
"2000"
"1"
"0.2"
"Bspline"
"2"
"7"
"lasso"
"0.101"
"0.052"
"1"
"1"
"1"
"1"
"0.061"
"0.047"
"1"
"1"
"0.027"
"0.202"
