"x"
"1000"
"-1"
"400"
"2000"
"1"
"0.1"
"Bspline"
"2"
"7"
"lasso"
"0.117"
"0.052"
"1"
"1"
"1"
"1"
"0.059"
"0.051"
"1"
"1"
"0.026"
"0.28"
