"x"
"1000"
"-1"
"400"
"2000"
"1"
"2"
"Bspline"
"2"
"7"
"lasso"
"0.062"
"0.033"
"1"
"0.999"
"0.583"
"0.354"
"0.049"
"0.064"
"1"
"1"
"0.554"
"0.143"
