"x"
"1000"
"-1"
"400"
"2000"
"1"
"1"
"Bspline"
"2"
"7"
"lasso"
"0.046"
"0.05"
"1"
"1"
"0.907"
"0.94"
"0.046"
"0.054"
"1"
"1"
"0.093"
"0.139"
