"x"
"1000"
"-1"
"400"
"5"
"1"
"MVN"
"Bspline"
"random"
"50"
"5"
"7"
"lasso"
"0.044"
"0.038"
"0.039"
"0.046"
"0.174"
"0.153"
"0.174"
"0.151"
"0.147"
"0.168"
"0.155"
"0.164"
"0.154"
"0.161"
"0.979"
"0.968"
"0.974"
"0.979"
"0.979"
"0.968"
"0.962"
"0.975"
"0.976"
"0.976"
"0.764"
"0.789"
"0.775"
"0.786"
"0.748"
"0.766"
"0.768"
"0.749"
"0.762"
"0.776"
"0.077"
"0.082"
"0.098"
"0.094"
"0.078"
"0.092"
"0.083"
"0.065"
"0.085"
"0.089"
"0.047"
"0.036"
"0.035"
"0.057"
"0.049"
"0.029"
"0.05"
"0.044"
"0.043"
"0.046"
"0.047"
"0.061"
"0.043"
"0.047"
"0.046"
"0.048"
"0.06"
"0.04"
"0.061"
"0.03"
"0.057"
"0.057"
"0.048"
"0.049"
"0.271"
"0.259"
"0.296"
"0.293"
"0.277"
"0.272"
"0.258"
"0.294"
"0.275"
"0.295"
"0.206"
"0.221"
"0.214"
"0.224"
"0.204"
"0.198"
"0.205"
"0.208"
"0.207"
"0.212"
"0.049"
"0.057"
"0.049"
"0.053"
"0.056"
"0.055"
"0.044"
"0.037"
"0.053"
"0.046"
"0.05"
"0.053"
"0.048"
"0.049"
"0.062"
"0.053"
"0.056"
"0.045"
"0.06"
"0.049"
