"x"
"1000"
"-1"
"400"
"4"
"1"
"MSN"
"Bspline"
"random"
"10"
"4"
"7"
"lasso"
"0.053"
"0.034"
"0.049"
"0.04"
"1"
"1"
"1"
"1"
"0.927"
"0.918"
"0.999"
"1"
"1"
"1"
"0.057"
"0.056"
"0.053"
"0.053"
"0.962"
"0.965"
"1"
"1"
"0.899"
"0.896"
"0.931"
"0.924"
"0.93"
"0.921"
