"x"
"1000"
"-1"
"400"
"3"
"1"
"Tdist"
"Bspline"
"random"
"10"
"3"
"7"
"lasso"
"0.034"
"0.033"
"0.023"
"0.029"
"1"
"0.999"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"0.287"
"0.295"
"0.27"
"0.269"
"0.385"
"0.372"
"0.364"
"0.374"
"0.367"
"0.356"
"0.442"
"0.425"
"0.42"
"0.431"
