"x"
"1000"
"-1"
"400"
"5"
"1"
"MVN"
"Bspline"
"random"
"10"
"5"
"7"
"lasso"
"0.043"
"0.04"
"0.049"
"0.046"
"0.967"
"0.934"
"1"
"1"
"1"
"1"
"0.935"
"0.927"
"1"
"1"
"0.068"
"0.05"
"0.065"
"0.047"
"0.778"
"0.746"
"0.995"
"0.992"
"0.997"
"0.998"
"0.734"
"0.728"
"0.932"
"0.924"
