"x"
"1000"
"-1"
"400"
"1"
"1"
"Mixture"
"Bspline"
"random"
"10"
"1"
"7"
"lasso"
"0.044"
"0.04"
"0.045"
"0.052"
"1"
"0.997"
"1"
"0.999"
"0.997"
"1"
"1"
"0.997"
"1"
"0.999"
"0.071"
"0.041"
"0.049"
"0.053"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
