"x"
"1000"
"-1"
"400"
"5"
"1"
"Chi"
"Bspline"
"random"
"10"
"5"
"7"
"lasso"
"0.026"
"0.037"
"0.034"
"0.031"
"0.613"
"0.626"
"1"
"1"
"1"
"1"
"0.333"
"0.325"
"0.032"
"0.043"
"0.05"
"0.043"
"0.045"
"0.055"
"0.047"
"0.046"
"0.401"
"0.389"
"0.524"
"0.53"
"0.045"
"0.04"
"0.046"
"0.038"
