"x"
"1000"
"-1"
"400"
"1"
"1"
"Tdist"
"Bspline"
"random"
"10"
"1"
"7"
"lasso"
"0.056"
"0.053"
"0.053"
"0.062"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"0.033"
"0.038"
"0.045"
"0.036"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
