"x"
"1000"
"-1"
"400"
"2000"
"1"
"0.6"
"Bspline"
"2"
"7"
"lasso"
"0.069"
"0.047"
"1"
"1"
"0.993"
"0.996"
"0.049"
"0.039"
"1"
"1"
"0.07"
"0.038"
