"x"
"1000"
"-1"
"400"
"2000"
"1"
"1.8"
"Bspline"
"2"
"7"
"lasso"
"0.06"
"0.034"
"1"
"1"
"0.691"
"0.715"
"0.051"
"0.049"
"1"
"1"
"0.156"
"0.203"
