"x"
"1000"
"-1"
"400"
"2000"
"1"
"1"
"Bspline"
"2"
"7"
"lasso"
"0.052"
"0.049"
"1"
"1"
"0.927"
"0.949"
"0.047"
"0.052"
"1"
"1"
"0.083"
"0.127"
