"x"
"1000"
"400"
"5"
"1"
"lasso"
"1"
"1"
"0.065"
"0.036"
"0.035"
"0.042"
"0.048"
"0.036"
"0.039"
"0.035"
"1"
"1"
"0.07"
"0.05"
"0.056"
"0.054"
"0.048"
"0.045"
"0.043"
"0.052"
