"","x"
"1",0.671968825605011
"2",0.0613782303990786
"3",0.360194539273373
"4",0.0735305861917444
"5",0.706082859022354
"6",0.305027421089708
"7",0.292974640578665
"8",0.365687814807218
"9",0.103893483301122
"10",0.687328432312585
"11",0.122512910133505
"12",0.434054543889011
"13",0.114380791168433
"14",0.660931187596183
"15",0.814481229461735
"16",0.566231074480126
"17",0.512387509937784
"18",0.0784841156249884
"19",0.699781749512779
"20",0.675296420437238
"21",0.349020459531067
"22",0.0412377422321595
"23",0.00884764328224874
"24",0.578529129225362
"25",0.877123638658139
"26",0.544037401576821
"27",0.445410632772297
"28",0.493426033080896
"29",0.687042484237378
"30",0.630341265831657
"31",0.513506853450601
"32",0.277890644594205
"33",0.394299537227552
"34",0.0751713190943355
"35",0.921578190286969
"36",0.342163736353692
"37",0.00939827320586639
"38",0.209951656314869
"39",0.944087096864781
"40",0.514271719687584
"41",0.708531835109972
"42",0.61191420261011
"43",0.649982206206408
"44",0.164909371380903
"45",0.488601095715593
"46",0.252019594151675
"47",0.550793002834268
"48",0.0605637363555414
"49",0.668313557148359
"50",0.399583495824836
"51",0.850199647286486
"52",0.207696680466921
"53",0.109405613915528
"54",0.0734073861195363
"55",0.13280297715192
"56",0.334413046025571
"57",0.195833295094668
"58",0.55953128340212
"59",0.116677956365498
"60",0.176729866458453
"61",0.424139825442348
"62",0.0535271102353991
"63",0.060789762429048
"64",0.0905724347756963
"65",0.708667589844515
"66",0.910485951950111
"67",0.422735732841219
"68",0.811521157664337
"69",0.54986057392296
"70",0.39271456273605
"71",0.342567564773102
"72",0.789207827305021
"73",0.176156279033646
"74",0.791289906819643
"75",0.684790264603316
"76",0.338193206582931
"77",0.525927048006122
"78",0.856686474793475
"79",0.208936500770463
"80",0.715022684961857
"81",0.441353800298664
"82",0.879239195562119
"83",0.750574101273554
"84",0.0490202744629767
"85",0.859474594535362
"86",0.482048179623254
"87",0.742365615545654
"88",0.312162851927019
"89",0.272490463116659
"90",0.37537889656035
"91",0.122439943969752
"92",0.00819018078090183
"93",0.224468430570384
"94",0.554533208635425
"95",0.179430714064742
"96",0.834458732725547
"97",0.211901524993092
"98",0.24500847221107
"99",0.444688103609733
"100",0.123915440964826
"101",0.374131131342544
"102",0.205915923697769
"103",0.437995451733377
"104",0.277322540693612
"105",0.204112136813587
"106",0.187262890987491
"107",0.718872430298635
"108",0.592874284882009
"109",0.941782224856146
"110",0.911943973105886
"111",0.0924187551278156
"112",0.202348322219813
"113",0.572834412765134
"114",0.0299328671767024
"115",0.746217157153082
"116",0.13513896242692
"117",0.190081520243384
"118",0.7985363725392
"119",0.403035089002168
"120",0.18311728896538
"121",0.423802721887888
"122",0.248844744467005
"123",0.215516910018678
"124",0.00419207072011585
"125",0.928301383889033
"126",0.0433160671928439
"127",0.00900923967278044
"128",0.0477120231931396
"129",0.5866555316609
"130",0.0266639007924488
"131",0.0174947216913443
"132",0.457978650054476
"133",0.513399139753534
"134",0.539210342713436
"135",0.00731388222023821
"136",0.425603632741099
"137",0.418704083667954
"138",0.814158561089144
"139",0.68662624505238
"140",0.270505206347792
"141",0.383884082368526
"142",0.00577790170088788
"143",0.256303307411051
"144",0.448818074925434
"145",0.822997551058492
"146",0.209124107627483
"147",0.866136859773894
"148",0.893142475385745
"149",0.181151305875618
"150",0.542788586499211
"151",0.685609335211292
"152",0.806699267393156
"153",0.17189141611537
"154",0.770331283245995
"155",0.112363957982662
"156",0.503461918184785
"157",0.19191421156394
"158",0.663435738319025
"159",0.0201783048269044
"160",0.170846312944024
"161",0.313508832818679
"162",0.425463208943927
"163",0.263168924240997
"164",0.203258083646719
"165",0.315583936549248
"166",0.279317206888698
"167",0.510433973442539
"168",0.604824469613857
"169",0.372884112759478
"170",0.0648524240218438
"171",0.153859653200064
"172",0.588235972715169
"173",0.920619427688566
"174",0.539199493624316
"175",0.0378818268028306
"176",0.389747088055075
"177",0.0411390028529488
"178",0.568908492141338
"179",0.131794345008146
"180",0.535740772807705
"181",0.354384362165574
"182",0.433914227559776
"183",0.184592331915107
"184",0.647061381713723
"185",0.245831020837993
"186",0.200386617926237
"187",0.248356674189734
"188",0.0776447295111391
"189",0.0855735980975816
"190",0.873264512300407
"191",0.178665664260835
"192",0.171526910124422
"193",0.380108457820572
"194",0.504511668746002
"195",0.516279178623794
"196",0.647344031683191
"197",0.264234579061204
"198",0.377333684187024
"199",0.000126230787051429
"200",0.868636409706558
"201",0.172087022193034
"202",0.654700519239572
"203",0.646807729972546
"204",0.381341738184503
"205",0.172166274962003
"206",0.728285818813667
"207",0.674167313354405
"208",0.134861339082125
"209",0.133088514334058
"210",0.0441187254979154
"211",0.926931266783576
"212",0.660986997318474
"213",0.100819177823289
"214",0.0285988346903409
"215",0.621728824919459
"216",0.458508765013676
"217",0.174139400902448
"218",0.391389531116261
"219",0.0867258601324017
"220",0.568921167010503
"221",0.735829403202195
"222",0.110029305767694
"223",0.380532678761295
"224",0.142315851688377
"225",0.281665846432979
"226",0.848202213330215
"227",0.905506261821136
"228",0.739190021623096
"229",0.227422985876367
"230",0.394630413992889
"231",0.185510364833279
"232",0.0439177415707768
"233",0.280293475959646
"234",0.466703507984983
"235",0.094640189887421
"236",0.293864649349211
"237",0.00365336502705482
"238",0.321604322300498
"239",0.10010527736669
"240",0.138864731251738
"241",0.552871101586061
"242",0.294018170329648
"243",0.420236414125474
"244",0.203320770782323
"245",0.088642880028404
"246",0.00737438650854483
"247",0.100887880403566
"248",0.0205724975671677
"249",0.298294680067036
"250",0.538904666037838
"251",0.983427594373074
"252",0.157244149070782
"253",0.446141308891592
"254",0.587066522121207
"255",0.40782789717769
"256",0.0310286049321656
"257",0.0352668454973011
"258",0.546037894046776
"259",0.484751376503781
"260",0.702232756268467
"261",0.654327718968321
"262",0.631024108395056
"263",0.530677873879781
"264",0.902341333313053
"265",0.432942782442995
"266",0.0676311743227238
"267",0.246729869141216
"268",0.687981066307046
"269",0.83115352914022
"270",0.597280454186103
"271",0.0121142506002047
"272",0.0205493147178238
"273",0.00492509771328542
"274",0.484020831942699
"275",0.259586565471893
"276",0.000612255296033704
"277",0.0410488094366516
"278",0.331612114472883
"279",0.459835116706455
"280",0.960665454104481
"281",0.810527201050576
"282",0.104075861831634
"283",0.326306860429521
"284",0.117110885743773
"285",0.457940260314285
"286",0.00191827346501638
"287",0.363875778948777
"288",0.0616885829928208
"289",0.0601981203550112
"290",0.0943703325120022
"291",0.617033901802461
"292",0.199862692427776
"293",0.784430725445551
"294",0.0144163948147242
"295",0.435926394106666
"296",0.100884453619044
"297",0.392103991660139
"298",0.391797500720163
"299",0.171575077040972
"300",0.333502579411278
"301",0.0434127024467537
"302",0.535126022048807
"303",0.00180627676871459
"304",0.710953967331615
"305",0.304021664559122
"306",0.0405999065783158
"307",0.286560234122204
"308",0.247674122922326
"309",0.0486808297705772
"310",0.712289182351599
"311",0.139358225524766
"312",0.589450143545552
"313",0.525656487919308
"314",0.361460756371664
"315",0.454753455144709
"316",0.908038944227309
"317",0.0736465313975713
"318",0.223635611196273
"319",0.0248945506286991
"320",0.707748052250006
"321",0.000829432895618432
"322",0.0762910918840481
"323",0.102303306173277
"324",0.319775609783867
"325",0.0914219402298517
"326",0.720399351042164
"327",0.791780346241191
"328",0.0509918256472195
"329",0.267111447580324
"330",0.687611904923483
"331",0.0378820462751515
"332",0.0521920860172586
"333",0.0400732144479997
"334",0.310334174572514
"335",0.662651105701875
"336",0.264317734450929
"337",0.482102672836055
"338",0.278140311795519
"339",0.304523923250348
"340",0.0949372562863956
"341",0.701358663276271
"342",0.603882315362066
"343",0.0128280401941012
"344",0.521852902595985
"345",0.0655148752879037
"346",0.257655146266582
"347",0.210784603797284
"348",0.124518710753455
"349",0.378210497732145
"350",0.0960206109162437
"351",0.787275640507828
"352",0.0850275907060631
"353",0.000405268764039346
"354",0.187855777459341
"355",0.274599122106947
"356",0.469413189854055
"357",0.148383010085444
"358",0.594802553762865
"359",0.0398667940006634
"360",0.17056921793532
"361",0.393895655878931
"362",0.0219963138791649
"363",0.109717640527329
"364",0.198070560976636
"365",0.861999121926317
"366",0.605921166245096
"367",0.685529044950293
"368",0.95543672386502
"369",0.283976543777753
"370",0.462430095112757
"371",0.152748245119119
"372",0.579245997541128
"373",0.35114701103748
"374",0.0506829953836838
"375",0.747834622329355
"376",0.182881023897157
"377",0.0279127232825828
"378",0.327402410532177
"379",0.318105976595848
