"x"
"1000"
"-1"
"400"
"2"
"1"
"MVN"
"Poly"
"random"
"10"
"2"
"7"
"lasso"
"0.033"
"0.03"
"0.021"
"0.046"
"1"
"1"
"1"
"0.999"
"1"
"1"
"1"
"1"
"0.998"
"0.993"
"0.048"
"0.041"
"0.054"
"0.045"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"0.056"
"0.047"
