"x"
"1000"
"-1"
"400"
"2"
"1"
"MVN"
"SIR2"
"random"
"10"
"2"
"7"
"lasso"
"0.046"
"0.053"
"0.045"
"0.055"
"1"
"0.998"
"0.999"
"0.999"
"0.997"
"0.999"
"0.999"
"0.998"
"1"
"1"
"0.048"
"0.041"
"0.054"
"0.045"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"0.056"
"0.047"
