x
1000
-1
400
5
1
MVN
SIR
random
10
5
7
lasso
0.056
0.041
0.049
0.054
0.871
0.837
1
0.998
1
1
0.796
0.818
0.996
1
0.067
0.056
0.071
0.045
0.791
0.751
0.995
0.999
0.998
0.999
0.732
0.729
0.935
0.931
