"x"
"1000"
"-1"
"400"
"5"
"1"
"MVN"
"Poly"
"random"
"10"
"5"
"7"
"lasso"
"0.023"
"0.016"
"0.02"
"0.014"
"0.933"
"0.881"
"1"
"1"
"1"
"1"
"0.872"
"0.896"
"0.994"
"0.997"
"0.068"
"0.05"
"0.065"
"0.047"
"0.778"
"0.746"
"0.995"
"0.992"
"0.997"
"0.998"
"0.734"
"0.728"
"0.932"
"0.924"
