"x"
"1000"
"-1"
"400"
"1"
"1"
"MVN"
"SIR"
"random"
"10"
"1"
"7"
"lasso"
"0.053"
"0.054"
"0.038"
"0.044"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"0.051"
"0.058"
"0.071"
"0.047"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
"1"
